,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
50,TRÈS BON ÉTAT,290,FRANCE,AIR FORCE ,41,2022-04-01 15:23:58.480590,Baskets Nike Air force one,40.0,très bon état
51,TRÈS BON ÉTAT,267,FRANCE,ADIDAS ,37,2022-03-19 15:23:58.480593,Baskets,28.0,Porté quelques fois. Des petites bouloches a l'intérieur car lavé une fois à la machine mais en très bon état. Taille 37 1/3
52,NEUF AVEC ÉTIQUETTE,393,BELGIQUE / BELGIË,STEVE MADDEN ,37,2022-04-04 15:23:58.480595,"WOUAHH!! superbes baskets sportifs,class et originales Steve Madden.",69.0,"superbes baskets, sportifs class et originales , très souples et très lègères."
53,NEUF AVEC ÉTIQUETTE,32,"GRENOBLE, FRANCE",NIKE ,47,2022-04-04 15:23:58.480597,Baskets Nike génome neuve jamais portée taille 47,85.0,"Nike génome
taille 47
neuve jamais portées
dans leur boîte d’origine sans couvercle"
54,TRÈS BON ÉTAT,16,FRANCE,ARTENGO ,34,2022-04-03 19:23:58.480600,Baskets fille 34,7.0,"Baskets fille 
Pointure 34

#enidad58chaussures"
55,BON ÉTAT,61,"BROÛT-VERNET, FRANCE",PUMA ,38,2022-03-30 15:23:58.480603,Baskets blanches,20.0,Portées peu de fois
56,TRÈS BON ÉTAT,140,FRANCE,ADIDAS ,38.5,2022-04-01 15:23:58.480605,Baskets Adidas Stan Smith pt.38 2/3,32.0,"Portées quelques fois 
Couleur blanc talon léopard gris 🐆
En très bon état quelques traces sur la semelle"
57,TRÈS BON ÉTAT,113,FRANCE,PUMA ,38.5,2022-03-24 15:23:58.480608,Baskets Cali Puma,19.0,"⛔ PAS D'ENVOI PAR UPS ⛔ 
Baskets Puma modèle Cali
Noir verni 
Taille 38,5
Vendues dans boite Puma
Très bon etat"
58,NEUF AVEC ÉTIQUETTE,304,"PARIS, FRANCE",NIKE AIR ,40,2022-04-04 15:23:58.480611,Baskets Nike air zoom valeur 125 €,59.0,Baskets Nike air zoom valeur 125 €
59,NEUF SANS ÉTIQUETTE,131,"TOULOUSE, FRANCE",PUMA ,38,2022-03-28 15:23:58.480613,baskets puma,45.0,"baskets puma 
couleur noir blanc rose 
neuf jamais porté 
vendu avec emballage d'origine"
